Branch,Number,Merged,Author,Title,Report,Beta,Release,SHA,URL,Comment
"main","11477","2026-09-02","app/dependabot","chore(deps): bump org.robolectric:robolectric from 4.17-beta-2 to 4.17-beta-4","Exclude","-","THUNDERBIRD_24_0b1","-","47fcbcb362af090e15cc09aed5bac761443a51c1","https://github.com/thunderbird/thunderbird-android/pull/11477",""
"main","11483","2026-09-02","app/github-actions","chore(i18n): translations update from Weblate","Include","-","THUNDERBIRD_24_0b1","-","c811c7c37d655a2ced51e66b8afadde56c2f25dd","https://github.com/thunderbird/thunderbird-android/pull/11483",""
"main","11473","2026-09-02","app/dependabot","chore(deps): bump com.networknt:json-schema-validator from 3.0.6 to 3.0.7","Exclude","-","THUNDERBIRD_24_0b1","-","708c8a40511354174bfd8152f0eed6388d240b1a","https://github.com/thunderbird/thunderbird-android/pull/11473",""
"main","11460","2026-09-02","Logeshsharma","fix(launcher): handle QR code navigation","Include","-","THUNDERBIRD_24_0b1","-","b6a662622d5c0f5725a247087c799052f7fdc9f6","https://github.com/thunderbird/thunderbird-android/pull/11460",""
"main","11301","2026-09-02","AvikMakwana","fix(message-composer): text selection highlight in light theme","Include","-","THUNDERBIRD_24_0b1","-","339b32ad4eecd773426079ace6fadc48ef25c14d","https://github.com/thunderbird/thunderbird-android/pull/11301",""
"main","11410","2026-09-02","snowykte0426","fix(edge-to-edge): keep the status bar visible in message selection mode","Include","-","THUNDERBIRD_24_0b1","-","f1e79b228c1e7910316afb5e2989078d87585159","https://github.com/thunderbird/thunderbird-android/pull/11410",""
"main","11452","2026-09-03","rafaeltonholo","docs(database): add ADR 0010 for project-wide Repository pattern adoption","Exclude","-","THUNDERBIRD_24_0b1","-","0553a6b23d7f3b30d46ff930cbc6210052e9459e","https://github.com/thunderbird/thunderbird-android/pull/11452",""
"main","11471","2026-09-03","wmontwe","docs(rfc): global database","Include","-","THUNDERBIRD_24_0b1","-","d5afc89de5f2316b0fa85755e0c6a6fdd519b251","https://github.com/thunderbird/thunderbird-android/pull/11471",""
"main","11501","2026-09-03","kryoseu","Bump versionName to 25.0","Exclude","-","-","-","81c1dccc3ff61b49ceae0da9f81f977c1b5c36e8","https://github.com/thunderbird/thunderbird-android/pull/11501",""
"main","11499","2026-09-04","kryoseu","chore(ci): update merge script to match b0 beta suffix coming from main","Exclude","-","-","-","05392dd2d465fd164904a060bc10980d1931bc40","https://github.com/thunderbird/thunderbird-android/pull/11499",""
"main","11472","2026-09-04","wmontwe","docs(technical-design): global database","Include","-","-","-","b6ccb4cfacc46b7cb6f5111e0adc23df24a6de9b","https://github.com/thunderbird/thunderbird-android/pull/11472",""
"main","11478","2026-09-04","rafaeltonholo","refactor(db-repository): extract folder details operations to FolderDetailsRepository","Exclude","-","-","-","f19d7b01d06acfab3359f97a720fec1dae5b0659","https://github.com/thunderbird/thunderbird-android/pull/11478",""
"main","11488","2026-09-04","dani-zilla","feat(account-drawer) Made the landscape view and small screen view us…","Include","-","-","-","23098bfdaccf0072b7486d7287d77e45af3ce284","https://github.com/thunderbird/thunderbird-android/pull/11488",""
"main","11479","2026-09-04","rafaeltonholo","refactor(db-repository): extract push folders query logic to PushFoldersQueryRepository","Exclude","-","-","-","7fb13f7c226bcdede9b825d2caccfd60f4b0a45a","https://github.com/thunderbird/thunderbird-android/pull/11479",""
"main","11436","2026-09-05","schorschii","feat: add progress indicator for encrypting messages","Include","-","-","-","230a5c33aad986828499795b082ca081a76faf18","https://github.com/thunderbird/thunderbird-android/pull/11436",""
"main","11455","2026-09-08","shamim-emon","refactor: Replace Changelog Data Source","Include","-","-","-","a2bf69a1aa1237cc026154d63314791c7e68b3cd","https://github.com/thunderbird/thunderbird-android/pull/11455",""
"main","11517","2026-09-08","app/dependabot","chore(deps): bump io.nlopez.compose.rules:detekt from 0.6.4 to 0.6.6","Exclude","-","-","-","0397ceb191e0ae8534bf0de44d6a2eeefffbe6a3","https://github.com/thunderbird/thunderbird-android/pull/11517",""
"main","11506","2026-09-08","wmontwe","chore(ci): classify external issues as unconfirmed bugs","Exclude","-","-","-","7172a4aae48395eea9759167c14b64472406e830","https://github.com/thunderbird/thunderbird-android/pull/11506",""
"main","11515","2026-09-08","app/dependabot","chore(deps): bump com.diffplug.spotless from 8.10.0 to 8.10.1","Exclude","-","-","-","ef4859bcabe51a55991de73dd3612d70d13a9a75","https://github.com/thunderbird/thunderbird-android/pull/11515",""
"main","11503","2026-09-09","wmontwe","docs(rfc): portable profile data format","Include","-","-","-","8871565ef3098035a9a518a748ea41c8376a748f","https://github.com/thunderbird/thunderbird-android/pull/11503",""
"main","11527","2026-09-09","app/github-actions","chore(i18n): translations update from Weblate","Include","-","-","-","2280d7522379f8f78133bf33745adf6e63ec635b","https://github.com/thunderbird/thunderbird-android/pull/11527",""
"main","11512","2026-09-09","wmontwe","docs(rfc): uuidv7 identifier migration","Exclude","-","-","-","77f29016ebe2e45b2a0f11e7d7e59c62aecaeeb6","https://github.com/thunderbird/thunderbird-android/pull/11512",""
"main","11510","2026-09-09","wmontwe","fix: utf8 decoding","Include","-","-","-","09f0589b1e0cb85369d6e7eca5fb7987c5928f39","https://github.com/thunderbird/thunderbird-android/pull/11510",""
